,ID,Dates,city,Racer,Racer_1,LAST_RACER_SAME_AS_CURRENT_RACER,LAST_RACER_SAME_AS_CURRENT_RACER_BINARY,Speed_in_Secs,GANYAN_TRANS,GANYAN_TRANS_INT,RANK,AG_Percentage,AG_RANK_AMONG_GROUP,AG_RANKING_Score_Normalized,Ranking_Score_Normalized,First_Position_Percentage,Second_Position_Percentage,Third_Position_Percentage,Fourth_Position_Percentage,TOP_THREE_RACER_PERCENTAGE,RANK_LATEST_1ST,RANK_LATEST_2ND,RANK_LATEST_3RD,RANK_LATEST_4TH,RANK_LATEST_5TH,TOPLAM_RACES,TOPLAM_1ST,TOPLAM_2ND,TOPLAM_3RD,TOPLAM_4TH,BIRINCILIK_PERCENTAGE,IKINCILIK_PERCENTAGE,UCUNCULUK_PERCENTAGE,DORDUNCULUK_PERCENTAGE,SPEED_LATEST_1ST,SPEED_LATEST_2nd,SPEED_LATEST_3rd,SPEED_LATEST_4th,SPEED_LATEST_5th,RANK.1,Ranking_Score_Normalized.1,kosu,kosu_saati,at_yası,at_ana,at_baba,at_soyu,Mevsim,KG,K,DB,SK,SKG,GKR,YP,TGK,ÖG,SGKR,Winner
6271,AYKAÇHAN(1) DB  SK  ,2017-10-25,Diyarbakır,İ.KATI,İ.KATI,True,1,82.67,7.3,730,8,4.0,7,56,53,7,7,8,8,22,8.0,11.0,11.0,6.0,6.0,16,0,0,1,0,0,0,6,0,14.5155,12.5665,11.7758,13.8557,14.7601,8,53,3,öğle,3,d,e,de,sonbahar,0,0,1,1,0,0,0,0,0,0,0
6272,OCTOFELIX(9) KG  DB  SK  ,2017-10-24,Kocaeli,F.HİM,F.HİM,True,1,156.09,15.6,1560,11,1.0,10,16,16,5,5,7,7,17,11.0,10.0,13.0,9.0,8.0,15,1,1,0,2,6,6,0,13,12.8131,14.6184,0.0,13.6571,13.8595,11,16,4,akşam,3,d,d,dd,sonbahar,1,0,1,1,0,0,0,0,0,0,0
6273,LEGENDARY ARROW(11) KG  DB  ,2017-10-24,Kocaeli,C.KARADEMİR,C.KARADEMİR,True,1,143.02,65.55,6555,9,1.0,11,8,33,5,5,5,7,15,9.0,17.0,15.0,10.0,12.0,7,0,0,0,0,0,0,0,0,13.9841,15.9672,15.8353,13.9401,15.5432,9,33,4,akşam,3,d,e,de,sonbahar,1,0,1,0,0,0,0,0,0,0,0
6274,LORD OF THE HORSES(3) KG  DB  ,2017-10-23,Bursa,V.YÜCEL,V.YÜCEL,True,1,88.53,14.6,1460,10,1.0,8,46,35,7,8,9,10,24,10.0,5.0,6.0,7.0,5.0,6,0,0,0,0,0,0,0,0,14.6843,15.2188,14.6704,16.247,16.2426,10,35,3,öğle,2,a,e,ae,sonbahar,1,0,1,0,0,0,0,0,0,0,0
6275,KİBARIM(8) SKG  SK  ,2017-10-25,Diyarbakır,E.AKKILIÇ,E.AKKILIÇ,True,1,82.19,15.0,1500,6,2.0,9,43,66,4,6,6,6,16,6.0,7.0,4.0,6.0,6.0,5,0,0,0,1,0,0,0,20,14.6003,14.8948,14.9463,15.0813,15.6872,6,66,3,öğle,3,d,d,dd,sonbahar,0,0,0,1,1,0,0,0,0,0,0
6276,SARIDAYI(10) KG  SK  ,2017-10-24,Diyarbakır,H.ŞANLI,H.ŞANLI,True,1,83.38,17.45,1745,10,2.0,9,33,25,6,5,6,8,17,10.0,7.0,6.0,9.0,13.0,13,0,0,1,0,0,0,7,0,14.3919,15.4162,15.213,14.8221,12.6921,10,25,2,öğle,4,a,g,ag,sonbahar,1,0,0,1,0,0,0,0,0,0,0
6277,GENEROUS ALLY(4) DB  SKG  SK    ,2017-10-25,Diyarbakır,M.B.ÇAKMAK,M.B.ÇAKMAK,True,1,76.7,1.8,180,1,12.0,1,93,100,7,6,7,8,20,1.0,10.0,8.0,4.0,15.0,10,1,1,1,1,10,10,10,10,15.6454,15.7924,16.9558,15.8604,14.5975,1,100,3,öğle,3,k,e,ke,sonbahar,0,0,1,1,1,0,0,0,0,0,1
6278,KIZIM HASİBE(8) KG    ,2017-10-22,İzmir,İ.YILDIRIM,İ.YILDIRIM,True,1,90.65,11.1,1110,11,3.0,8,42,23,2,2,3,4,7,11.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,13.2377,0.0,0.0,0.0,0.0,11,23,3,akşam,3,k,d,kd,sonbahar,1,0,0,0,0,0,0,0,0,0,0
6279,CAN(2) KG  K  ,2017-10-22,İzmir,A.C. İNAN,S.ULUTAŞ,False,0,89.26,4.05,405,10,10.0,4,71,30,10,9,9,9,28,14.0,10.0,9.0,6.0,4.0,8,0,0,0,1,0,0,0,12,0.0,13.4439,12.966,14.9589,14.675999999999998,10,30,3,akşam,3,a,d,ad,sonbahar,1,1,0,0,0,0,0,0,0,0,0
6280,KIZIMNUR(9) KG  DB    ,2017-10-22,İzmir,GÖKH.YILMAZ,GÖKH.YILMAZ,True,1,88.36,11.1,1110,9,1.0,8,42,38,6,7,7,9,20,9.0,9.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,13.5808,13.6727,0.0,0.0,0.0,9,38,3,akşam,3,k,d,kd,sonbahar,1,0,1,0,0,0,0,0,0,0,0
6281,BERNOK(7) KG  ,2017-10-24,Kocaeli,DOĞUKAN SAV,DOĞUKAN SAV,True,1,105.58,16.55,1655,9,3.0,8,33,33,8,10,9,10,27,9.0,6.0,7.0,0.0,3.0,8,1,0,2,1,12,0,25,12,13.2601,13.327,14.8148,14.0384,13.9844,9,33,3,akşam,3,a,d,ad,sonbahar,1,0,0,0,0,0,0,0,0,0,0
6282,BABASININBİRTANESİ(6) KG  ,2017-10-25,Diyarbakır,H.POLAT,H.POLAT,True,1,93.59,14.7,1470,8,0.0,0,100,53,7,9,9,10,25,8.0,13.0,8.0,5.0,12.0,11,1,0,0,0,9,0,0,0,12.8219,12.9088,12.7132,13.0577,12.2474,8,53,1,öğle,3,a,d,ad,sonbahar,1,0,0,0,0,0,0,0,0,0,0
6283,URFALI YARİM(9) KG  SK  ,2017-10-24,Diyarbakır,İ.KATAR,İ.KATAR,True,1,94.14,37.55,3754,10,1.0,11,16,25,7,7,8,9,22,10.0,11.0,9.0,0.0,0.0,3,0,0,0,0,0,0,0,0,12.747,12.1902,12.2941,0.0,0.0,10,25,1,öğle,3,a,d,ad,sonbahar,1,0,0,1,0,0,0,0,0,0,0
6284,GÜLSİMA(8) KG  ,2017-10-24,Kocaeli,M.ÇİÇEK,M.ÇİÇEK,True,1,97.45,3.75,375,1,11.0,3,75,100,14,14,14,12,42,1.0,7.0,5.0,4.0,7.0,11,2,0,1,1,18,0,9,9,14.3663,14.770999999999999,14.7851,14.5138,15.0395,1,100,3,akşam,3,k,d,kd,sonbahar,1,0,0,0,0,0,0,0,0,0,1
6285,MAD RUSH(5) t  KG  SK  ,2017-10-23,Bursa,H.KAPLAN,H.KAPLAN,True,1,79.2,10.85,1085,6,0.0,0,100,64,10,10,9,10,29,6.0,9.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,15.1515,16.4654,0.0,0.0,0.0,6,64,1,öğle,2,d,e,de,sonbahar,1,0,0,1,0,0,0,0,0,0,0
6286,HANDI GIRL(7) KG  DB  SK  ,2017-10-24,Kocaeli,U.BARLIK,U.BARLIK,True,1,117.54,12.15,1215,6,0.0,0,100,58,10,8,10,9,28,6.0,7.0,5.0,7.0,6.0,27,3,2,3,1,11,7,11,3,14.4632,14.943,15.2658,16.0578,15.8479,6,58,2,akşam,3,d,d,dd,sonbahar,1,0,1,1,0,0,0,0,0,0,0
6287,MARIAGE(9) KG  K  BB  ,2017-10-30,Adana,S.ERKUŞ,S.ERKUŞ,True,1,126.46,11.05,1105,7,3.0,11,21,50,8,9,9,10,26,7.0,7.0,9.0,10.0,10.0,25,4,3,4,2,16,12,16,8,15.0245,16.6067,16.2378,16.1923,16.6096,7,50,8,akşam,4,d,k,dk,sonbahar,1,1,0,0,0,0,0,0,0,0,0
6288,DIVINE POWER(3) KG  SK  ,2017-10-30,Adana,A.ŞAŞMAZ,A.ŞAŞMAZ,True,1,126.45,7.85,785,6,5.0,8,42,58,8,6,8,7,22,6.0,6.0,11.0,3.0,5.0,67,5,12,5,3,7,17,7,4,15.0257,15.9951,16.1929,16.3572,16.0141,6,58,8,akşam,5,d,k,dk,sonbahar,1,0,0,1,0,0,0,0,0,0,0
6289,CONFUSING(3) KG  DB  ,2017-10-30,Adana,Ö.ORDU,Ö.ORDU,True,1,87.83,24.2,2420,6,1.0,9,35,58,6,7,5,8,18,6.0,6.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,14.8013,15.748,0.0,0.0,0.0,6,58,7,akşam,2,a,d,ad,sonbahar,1,0,1,0,0,0,0,0,0,0,0
6290,TWINKLE(4) DB  ,2017-10-30,Bursa,A.SÖZEN,A.SÖZEN,True,1,76.36,2.2,220,6,23.0,2,92,61,13,13,13,12,39,6.0,8.0,3.0,1.0,3.0,5,1,0,2,0,20,0,40,0,15.715,16.2507,16.7809,17.0596,16.6415,6,61,4,öğle,2,a,d,ad,sonbahar,0,0,1,0,0,0,0,0,0,0,0
6291,SAYGIDEĞER(10) KG  DB  SK  ,2017-10-30,Adana,E.SİNCAN,E.SİNCAN,True,1,152.12,19.7,1970,9,1.0,10,28,33,6,7,8,8,21,9.0,8.0,10.0,7.0,3.0,18,1,0,2,0,5,0,11,0,13.1475,12.9164,12.6658,13.2437,13.468,9,33,4,akşam,4,a,a,aa,sonbahar,1,0,1,1,0,0,0,0,0,0,0
6292,VICTORY SWORD(3) DB  ,2017-10-30,Bursa,T.YILDIZ,A.KÜRÜNDÜK,False,0,88.31,3.5,350,5,8.0,4,78,69,12,11,11,10,34,10.0,5.0,6.0,8.0,1.0,23,6,2,2,3,26,8,8,13,0.0,15.8532,15.7197,16.0149,16.022000000000002,5,69,3,öğle,4,a,a,aa,sonbahar,0,0,1,0,0,0,0,0,0,0,0
6293,ASGARD(7) KG  DB  SK  ,2017-10-30,Bursa,K.TOKAÇOĞLU,K.TOKAÇOĞLU,True,1,146.05,17.1,1710,13,2.0,13,14,7,14,12,11,9,37,13.0,8.0,7.0,6.0,15.0,29,1,2,2,0,3,6,6,0,13.0092,13.3067,13.4671,13.8641,14.1295,13,7,2,öğle,5,k,a,ka,sonbahar,1,0,1,1,0,0,0,0,0,0,0
6294,ESER BEY(6) KG  ,2017-10-30,Adana,N.ŞEN,N.ŞEN,True,1,87.57,9.95,994,7,0.0,0,100,50,11,11,11,11,33,7.0,11.0,10.0,11.0,10.0,6,0,0,0,0,0,0,0,0,14.8453,14.5716,15.7834,15.850999999999999,16.0091,7,50,2,akşam,3,d,e,de,sonbahar,1,0,0,0,0,0,0,0,0,0,0
6295,KATİPHAN(7) KG  K  ,2017-10-30,Bursa,E.ÖZKAN,E.ÖZKAN,True,1,106.57,15.4,1540,11,2.0,9,42,23,1,2,2,6,5,11.0,6.0,7.0,11.0,13.0,22,1,5,0,2,4,22,0,9,13.1369,14.9063,12.8587,0.0,12.8146,11,23,1,öğle,4,k,a,ka,sonbahar,1,1,0,0,0,0,0,0,0,0,0
6296,HOLDING VICTORY(3) KG  DB  SK  ,2017-10-30,Adana,U.TEMUR,U.TEMUR,True,1,80.25,1.8,180,1,0.0,0,100,100,9,9,11,9,29,1.0,2.0,4.0,1.0,2.0,7,2,2,0,1,28,28,0,14,16.1994,16.9315,15.4032,16.1651,16.1312,1,100,2,akşam,3,d,e,de,sonbahar,1,0,1,1,0,0,0,0,0,0,1
6297,AYANFER(10) KG  DB  SK  ,2017-10-30,Bursa,Y.DUMAN,Y.DUMAN,True,1,102.5,28.65,2865,8,1.0,10,35,46,1,4,7,7,12,8.0,7.0,10.0,6.0,8.0,14,0,0,2,0,0,0,14,0,13.6585,14.0845,13.2591,13.7511,14.7788,8,46,1,öğle,4,k,k,kk,sonbahar,1,0,1,1,0,0,0,0,0,0,0
6298,MAGLEW(1) DB  SKG  SK  ,2017-10-24,Kocaeli,F.KARAKURT,F.KARAKURT,True,1,117.87,3.9,390,7,0.0,0,100,50,9,9,8,10,26,7.0,6.0,4.0,3.0,12.0,15,5,2,1,1,33,13,6,6,14.4227,15.6705,14.8333,15.7197,16.0256,7,50,2,akşam,3,d,d,dd,sonbahar,0,0,1,1,1,0,0,0,0,0,0
6299,ŞOŞOLOZA(17) DB  SK  ,2017-10-29,İzmir,U.İRTİŞ,U.İRTİŞ,True,1,108.23,13.95,1395,14,1.0,13,23,18,2,2,4,3,8,14.0,10.0,6.0,8.0,10.0,24,1,1,4,0,4,4,16,0,14.7833,15.9719,16.0171,16.3113,16.5769,14,18,8,akşam,4,d,k,dk,sonbahar,0,0,1,1,0,0,0,0,0,0,0
6300,TREE OF WISDOM(15) SK  ,2017-10-29,İzmir,E.ARDIÇ,E.ARDIÇ,True,1,107.96,34.25,3425,13,1.0,15,11,25,6,5,5,6,16,13.0,10.0,14.0,13.0,6.0,12,0,0,2,1,0,0,16,8,14.8203,16.0495,15.882,15.7003,16.5133,13,25,8,akşam,3,a,g,ag,sonbahar,0,0,0,1,0,0,0,0,0,0,0
6301,HASANDEDEM(2) KG  K  ,2017-10-29,İzmir,A.OKAN PAZAR,A.OKAN PAZAR,True,1,85.41,14.9,1490,12,2.0,8,52,31,11,10,12,9,33,12.0,7.0,4.0,8.0,12.0,5,0,0,0,1,0,0,0,20,14.0499,14.7077,14.6003,13.587,14.312999999999999,12,31,6,akşam,3,a,e,ae,sonbahar,1,1,0,0,0,0,0,0,0,0,0
6302,MERTEMRE(4),2017-10-29,İzmir,CEM ŞEN,CEM ŞEN,True,1,85.27,12.65,1265,11,1.0,10,41,37,7,7,7,8,21,11.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,14.0729,0.0,0.0,0.0,0.0,11,37,6,akşam,3,a,e,ae,sonbahar,0,0,0,0,0,0,0,0,0,0,0
6303,GREAT GATSBY(9) SKG  SK  ,2017-10-29,İstanbul,K.TOPCU,K.TOPCU,True,1,84.71,19.5,1950,9,0.0,11,15,33,0,3,3,9,6,9.0,19.0,14.0,13.0,8.0,7,0,0,0,0,0,0,0,0,14.165999999999999,14.3959,13.0416,0.0,14.8032,9,33,8,öğle,3,d,e,de,sonbahar,0,0,0,1,1,0,0,0,0,0,0
6304,DİLŞEKER(5) BB  ,2017-10-29,İstanbul,A.ASLAN,A.ASLAN,True,1,151.12,6.65,665,5,6.0,7,46,66,7,8,8,9,23,5.0,5.0,5.0,9.0,5.0,80,8,8,9,11,10,10,11,13,13.8962,14.7888,14.04,14.3279,13.720999999999998,5,66,3,öğle,6,a,k,ak,sonbahar,0,0,0,0,0,0,0,0,0,0,0
6305,MANYAS(8) KG  SK  ,2017-10-29,İstanbul,F.HİM,F.HİM,True,1,110.53,23.6,2360,7,0.0,0,100,50,5,5,7,7,17,7.0,16.0,10.0,8.0,9.0,14,1,1,0,1,7,7,0,7,13.571,13.2682,13.1458,13.2556,13.0161,7,50,1,öğle,4,a,k,ak,sonbahar,1,0,0,1,0,0,0,0,0,0,0
6306,AVŞAR TUBA(8) KG  ,2017-10-28,Adana,A.KAÇMAZ,A.KAÇMAZ,True,1,94.72,22.2,2220,8,1.0,8,42,46,9,10,11,10,30,8.0,9.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,12.6689,13.540999999999999,0.0,0.0,0.0,8,46,7,akşam,3,k,d,kd,sonbahar,1,0,0,0,0,0,0,0,0,0,0
6307,KAFKAS KRALI(10) KG    ,2017-10-29,İzmir,F.KARAKURT,F.KARAKURT,True,1,144.37,2.85,285,12,2.0,1,94,31,9,9,8,10,26,12.0,4.0,2.0,6.0,1.0,48,8,5,4,6,16,10,8,12,13.8533,14.4972,14.8507,14.7028,14.7107,12,31,3,akşam,7,k,a,ka,sonbahar,1,0,0,0,0,0,0,0,0,0,0
6308,ADIVAR(6) KG  DB  SK  ,2017-10-29,İzmir,N.AVCİ,N.AVCİ,True,1,106.54,4.85,484,2,16.0,2,88,93,9,10,11,11,30,2.0,3.0,3.0,2.0,12.0,20,1,3,6,2,5,15,30,10,15.9564,16.6192,16.2679,16.5877,15.4943,2,93,4,akşam,3,d,e,de,sonbahar,1,0,1,1,0,0,0,0,0,0,0
6309,KERNEK BEYİ(6) KG  DB  SK  ,2017-10-28,Adana,KEMAL KURT,KEMAL KURT,True,1,96.89,23.35,2335,10,1.0,10,28,30,6,7,8,8,21,10.0,10.0,8.0,7.0,0.0,4,0,0,0,0,0,0,0,0,12.3852,13.8265,14.126,13.2392,0.0,10,30,3,akşam,3,a,e,ae,sonbahar,1,0,1,1,0,0,0,0,0,0,0
6310,ZABALAM(1) SK  ,2017-10-29,İzmir,U.BARLIK,U.BARLIK,True,1,138.6,3.45,345,4,17.0,2,88,81,10,8,10,9,28,4.0,1.0,2.0,4.0,1.0,37,9,5,2,4,24,13,5,10,14.43,14.7395,14.6565,14.7918,14.7218,4,81,3,akşam,5,k,k,kk,sonbahar,0,0,0,1,0,0,0,0,0,0,0
6311,FETHİYE(6),2017-10-22,İzmir,İ.KALE,İ.KALE,True,1,96.95,3.9,390,7,0.0,0,100,53,6,6,6,9,18,7.0,3.0,3.0,8.0,4.0,136,10,14,14,15,7,10,10,11,14.4404,14.9461,14.7698,14.4242,14.7804,7,53,1,öğle,8,k,k,kk,sonbahar,0,0,0,0,0,0,0,0,0,0,0
6312,DEKOR(4) DB  SK  ,2017-10-28,Ankara,AYDA MBOOB,AYDA MBOOB,True,1,105.32,1.35,135,3,22.0,3,83,85,0,0,100,0,100,3.0,8.0,11.0,10.0,13.0,48,4,6,7,2,8,12,14,4,14.2423,15.6511,15.8156,15.2099,15.625,3,85,2,öğle,6,a,a,aa,sonbahar,0,0,1,1,0,0,0,0,0,0,0
6313,YENİSEY(5) KG  ,2017-10-28,Ankara,N.ALTIN,N.ALTIN,True,1,90.23,6.55,655,5,3.0,4,75,71,13,12,11,10,36,5.0,8.0,9.0,0.0,0.0,3,0,0,0,0,0,0,0,0,13.2993,13.1839,14.2416,0.0,0.0,5,71,1,öğle,3,a,e,ae,sonbahar,1,0,0,0,0,0,0,0,0,0,0
6314,BENSUCAN(5) KG  SK  ,2017-10-24,Kocaeli,İ.H.KETME,İ.H.KETME,True,1,103.05,4.6,459,6,0.0,0,100,58,7,9,10,11,26,6.0,6.0,6.0,8.0,0.0,4,0,0,0,0,0,0,0,0,11.6448,13.3274,12.963,13.1709,0.0,6,58,1,öğle,3,k,d,kd,sonbahar,1,0,0,1,0,0,0,0,0,0,0
6315,QUICK STEP(15) SK  ,2017-10-26,İzmir,H.ŞİMŞEK,H.ŞİMŞEK,True,1,113.3,17.15,1714,14,1.0,14,22,13,7,7,8,9,22,14.0,8.0,13.0,9.0,8.0,73,7,8,3,3,9,10,4,4,15.0044,15.3056,15.3737,16.6044,15.2025,14,13,8,akşam,6,d,k,dk,sonbahar,0,0,0,1,0,0,0,0,0,0,0
6316,BLACK BİKİNİ(14) SKG  SK  SGKR  ,2017-10-26,İzmir,Y.BAYIR,Y.BAYIR,True,1,113.46,79.9,7990,15,0.0,18,0,6,5,4,4,8,13,15.0,12.0,12.0,15.0,12.0,9,0,0,0,0,0,0,0,0,14.9833,15.9326,15.2104,15.4321,15.3694,15,6,8,akşam,3,d,d,dd,sonbahar,0,0,0,1,1,0,0,0,0,1,0
6317,PATATUKA(16) K  ,2017-10-26,İzmir,M.GÖNÜLTAŞ,A.KÜRÜNDÜK,False,0,111.79,49.95,4995,12,0.0,17,5,26,7,9,9,9,25,14.0,11.0,12.0,12.0,10.0,41,3,6,3,3,7,14,7,7,0.0,0.0,15.2071,14.3164,15.6037,12,26,8,akşam,4,d,k,dk,sonbahar,0,1,0,0,0,0,0,0,0,0,0
6318,GOLDCREST(5) KG  SK  ,2017-10-26,İzmir,A.OKAN PAZAR,A.OKAN PAZAR,True,1,110.07,12.9,1290,8,4.0,8,55,53,11,10,12,9,33,8.0,8.0,4.0,3.0,3.0,39,3,3,8,6,7,7,20,15,15.4447,13.899000000000001,16.5328,16.0229,16.3151,8,53,8,akşam,5,d,k,dk,sonbahar,1,0,0,1,0,0,0,0,0,0,0
6319,HALENAY(4) KG  K  DB  ,2017-10-27,İstanbul,M.KURT,O.YILMAZ,False,0,159.0,7.7,770,9,5.0,6,44,11,4,5,4,6,13,10.0,9.0,9.0,2.0,8.0,51,6,8,5,4,11,15,9,7,0.0,13.2075,0.0,14.4668,14.2315,9,11,4,akşam,5,a,k,ak,sonbahar,1,1,1,0,0,0,0,0,0,0,0
6320,ENOPİ(11) KG  DB  ,2017-10-26,İzmir,U.İRTİŞ,U.İRTİŞ,True,1,127.81,23.9,2390,10,0.0,11,38,40,2,2,4,3,8,10.0,11.0,11.0,12.0,14.0,20,1,0,3,3,5,0,15,15,14.8658,15.3807,15.9453,14.5835,14.3585,10,40,5,akşam,3,d,e,de,sonbahar,1,0,1,0,0,0,0,0,0,0,0
6321,NARTKAN(7) KG  ,2017-10-27,Bursa,H.KAPLAN,H.KAPLAN,True,1,89.47,10.05,1005,10,1.0,11,31,40,10,10,9,10,29,10.0,7.0,6.0,0.0,0.0,3,0,0,0,0,0,0,0,0,13.4123,13.2727,13.7143,0.0,0.0,10,40,7,öğle,3,k,e,ke,sonbahar,1,0,0,0,0,0,0,0,0,0,0
6322,ANADOLU HİSARI(13),2017-10-26,İzmir,CEM ŞEN,CEM ŞEN,True,1,127.82,6.85,685,14,4.0,8,55,13,7,7,7,8,21,14.0,5.0,9.0,6.0,12.0,39,1,2,1,8,2,5,2,20,13.3,14.5943,14.3135,14.715,14.4733,14,13,4,akşam,4,d,a,da,sonbahar,0,0,0,0,0,0,0,0,0,0,0
6323,EZMOCE(2) KG  ,2017-10-26,İzmir,GÖKH.GÖKÇE,GÖKH.GÖKÇE,True,1,77.85,5.7,570,12,7.0,4,77,26,10,11,11,11,32,12.0,4.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,50,15.4143,16.1355,0.0,0.0,0.0,12,26,3,akşam,2,d,e,de,sonbahar,1,0,0,0,0,0,0,0,0,0,0
6324,GOLD SILVER(12) KG  ,2017-10-31,Kocaeli,M.ALİ AYDIN,M.ALİ AYDIN,True,1,113.78,8.95,894,11,1.0,11,8,9,1,1,4,5,6,11.0,9.0,9.0,5.0,13.0,20,0,0,0,1,0,0,0,5,14.9411,15.5099,15.585999999999999,16.4339,15.7658,11,9,8,akşam,5,d,a,da,sonbahar,1,0,0,0,0,0,0,0,0,0,0
6325,LAST CHERKO(2) KG  DB  ,2017-10-31,Kocaeli,G.YILDIZ,G.YILDIZ,True,1,92.57,4.3,430,6,8.0,4,66,54,7,8,9,10,24,6.0,5.0,6.0,7.0,10.0,5,0,0,0,0,0,0,0,0,15.1237,15.4143,15.0943,15.998,15.594000000000001,6,54,7,akşam,2,d,e,de,sonbahar,1,0,1,0,0,0,0,0,0,0,0
6326,YİĞİTABİ(13) DB  SKG  SK  ,2017-10-31,Diyarbakır,H.DEMİRTAŞ,H.DEMİRTAŞ,True,1,142.37,18.45,1845,12,1.0,11,21,21,6,8,7,8,21,12.0,15.0,6.0,4.0,9.0,16,1,0,0,1,6,0,0,6,13.3455,12.7291,14.2005,14.5208,14.5391,12,21,3,öğle,3,d,e,de,sonbahar,0,0,1,1,1,0,0,0,0,0,0
6327,KING KAISER(11) KG  SK  ,2017-10-31,Diyarbakır,M.IŞIK,M.IŞIK,True,1,142.33,18.85,1885,11,1.0,12,14,28,6,8,7,7,21,11.0,8.0,8.0,9.0,13.0,18,0,6,1,0,0,33,5,0,13.3493,14.2545,13.3323,13.7536,12.8324,11,28,3,öğle,3,a,e,ae,sonbahar,1,0,0,1,0,0,0,0,0,0,0
6328,ŞEFTALİ ÇİÇEĞİ(8),2017-10-31,Kocaeli,N.EREN,N.EREN,True,1,102.7,21.15,2115,7,0.0,0,100,45,5,5,7,11,17,7.0,7.0,8.0,10.0,0.0,4,0,0,0,0,0,0,0,0,13.6319,15.0489,15.5824,14.3249,0.0,7,45,1,öğle,2,a,d,ad,sonbahar,0,0,0,0,0,0,0,0,0,0,0
6329,LİMİTSİZ(16) KG  K  ,2017-03-11,İstanbul,S.AKBULAT,S.AKBULAT,True,1,88.03,50.3,5030,14,0.0,17,5,23,5,6,6,7,17,14.0,20.0,7.0,8.0,9.0,9,0,0,0,0,0,0,0,0,15.9037,15.239,16.247,16.6459,15.8629,14,23,9,akşam,3,d,e,de,sonbahar,1,1,0,0,0,0,0,0,0,0,0
6330,MISTER RIPLEY(9) KG  K  DB  ,2017-03-11,Bursa,İ.DİNAR,İ.DİNAR,True,1,91.4,6.1,610,9,3.0,6,45,11,6,6,7,8,19,9.0,5.0,12.0,9.0,10.0,26,1,4,1,2,3,15,3,7,15.3173,14.9169,14.8859,16.2696,15.9294,9,11,7,öğle,3,d,e,de,sonbahar,1,1,1,0,0,0,0,0,0,0,0
6331,LA REYNA(11) KG  K  DB  GKR  ,2017-03-11,Bursa,Y.E.YÜKSEL,Y.E.YÜKSEL,True,1,91.22,12.3,1230,8,2.0,8,27,22,6,7,7,7,20,8.0,13.0,7.0,6.0,5.0,22,1,1,0,2,4,4,0,9,15.3475,13.8573,14.7607,15.472999999999999,15.1604,8,22,7,öğle,3,d,d,dd,sonbahar,1,1,1,0,0,1,0,0,0,0,0
6332,BÜŞRA(2) KG  DB  ,2017-03-11,Bursa,K.TOKAÇOĞLU,V.YÜCEL,False,0,105.5,5.4,540,7,4.0,6,45,33,14,12,11,9,37,11.0,7.0,9.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0.0,13.2701,13.2261,0.0,0.0,7,33,6,öğle,3,k,d,kd,sonbahar,1,0,1,0,0,0,0,0,0,0,0
6333,KLEOPATRA(7) KG  K  ,2017-03-11,Bursa,T.YILDIZ,T.YILDIZ,True,1,110.67,12.7,1270,8,1.0,7,36,22,12,11,11,10,34,8.0,8.0,6.0,11.0,0.0,4,0,0,0,0,0,0,0,0,12.6502,13.6395,13.4741,12.3077,0.0,8,22,6,öğle,3,k,d,kd,sonbahar,1,1,0,0,0,0,0,0,0,0,0
6334,SONGÜLCAN(14) KG  K  DB  ,2017-01-11,Diyarbakır,D.KORKMAZ,D.KORKMAZ,True,1,143.11,26.25,2625,14,1.0,15,6,13,5,8,8,9,21,14.0,16.0,9.0,7.0,6.0,29,1,6,3,1,3,20,10,3,12.5777,13.6008,13.9768,14.0717,13.8725,14,13,9,öğle,3,d,d,dd,sonbahar,1,1,1,0,0,0,0,0,0,0,0
6335,SPEAK ME SOFTLY(15),2017-01-11,Diyarbakır,KEMAL KURT,KEMAL KURT,True,1,125.69,13.25,1325,10,2.0,14,13,40,6,7,8,8,21,12.0,10.0,10.0,4.0,10.0,6,0,0,0,1,0,0,0,16,0.0,14.3209,13.8392,14.3086,15.821,10,40,9,öğle,3,d,d,dd,sonbahar,0,0,0,0,0,0,0,0,0,0,0
6336,PEYDERPEY(8) SK  ,2017-01-11,Diyarbakır,M.F.ASLAN,M.F.ASLAN,True,1,134.62,16.3,1630,13,2.0,12,26,19,8,9,8,10,25,13.0,7.0,8.0,5.0,2.0,26,0,2,0,6,0,7,0,23,13.370999999999999,14.5243,13.6942,14.3848,14.5363,13,19,9,öğle,3,d,d,dd,sonbahar,0,0,0,1,0,0,0,0,0,0,0
6337,YENERİM(8) KG  K    ,2017-01-11,Diyarbakır,MEHMET SAV,M.B.ÇAKMAK,False,0,102.82,7.05,705,10,1.0,7,60,40,0,0,5,2,5,10.0,10.0,12.0,14.0,8.0,6,0,0,0,0,0,0,0,0,0.0,11.6709,11.0182,0.0,10.7894,10,40,8,öğle,3,a,e,ae,sonbahar,1,1,0,0,0,0,0,0,0,0,0
